,original_title,genres,original_language,production_countries,production_companies,release_date,year,month,Day,budget,revenue,runtime,status,vote_average,vote_count,popularity
378,K-19: The Widowmaker(2002),"Drama,History,Thriller",en,"Canada,Germany,United Kingdom,United States of America","Paramount Pictures,Intermedia Films,National Geographic Society,New Regency Pictures,Palomar Pictures (II),First Light Production",2002-07-19,2002,7,Friday,100000000,35168966,138.0,Released,6.1,264,15.625949
379,Conan the Barbarian(1982),"Adventure,Fantasy,Action",en,United States of America,"Universal Pictures,Dino De Laurentiis Company",1982-04-02,1982,4,Friday,20000000,79114085,129.0,Released,6.6,650,31.802807
380,Cinderella Man(2005),"Romance,Drama,History",en,United States of America,"Miramax Films,Imagine Entertainment,Universal Pictures,Parkway Pictures (I),Touchstone Pictures",2005-06-02,2005,6,Thursday,88000000,108539911,144.0,Released,7.3,616,24.100863
381,The Nutcracker: The Untold Story(2010),"Fantasy,Action,Family",en,"United Kingdom,Hungary","Vnesheconombank,Nutcracker Holdings,HCC Media Group,Russian Roulette Ltd.",2010-11-24,2010,11,Wednesday,90000000,16178959,110.0,Released,5.4,50,3.593349
382,Seabiscuit(2003),"Drama,History",en,United States of America,"Universal Pictures,Spyglass Entertainment,The Kennedy/Marshall Company,DreamWorks Pictures,Touchstone Pictures",2003-07-22,2003,7,Tuesday,87000000,148336445,141.0,Released,6.7,216,14.824166
383,Twister(1996),"Action,Adventure,Drama",en,United States of America,"Universal Pictures,Amblin Entertainment,Warner Bros.,Constant c Productions",1996-05-10,1996,5,Friday,92000000,494471524,113.0,Released,6.1,950,32.079995
384,Cast Away(2000),"Adventure,Drama",en,United States of America,"DreamWorks SKG,Twentieth Century Fox Film Corporation,Playtone,ImageMovers",2000-12-22,2000,12,Friday,90000000,429632142,143.0,Released,7.5,3218,57.739713
385,Happy Feet(2006),"Animation,Comedy",en,Australia,"Kennedy Miller Productions,Animal Logic",2006-11-16,2006,11,Thursday,100000000,384335608,108.0,Released,5.9,1410,37.272385
386,The Bourne Supremacy(2004),"Action,Drama,Thriller",en,"Germany,United States of America","Universal Pictures,The Kennedy/Marshall Company,Hypnotic,Motion Picture THETA Produktionsgesellschaft,Ludlum Entertainment",2004-07-23,2004,7,Friday,75000000,288500217,108.0,Released,7.2,2825,53.213931
387,Air Force One(1997),"Action,Thriller",en,"Germany,United States of America","Columbia Pictures Corporation,Beacon Communications,Radiant Productions",1997-07-25,1997,7,Friday,85000000,315156409,124.0,Released,6.2,840,36.38795
388,Ocean's Eleven(2001),"Thriller,Crime",en,United States of America,"Village Roadshow Pictures,Section Eight,NPV Entertainment,Jerry Weintraub Productions,Warner Bros.,WV Films II",2001-12-07,2001,12,Friday,85000000,450717150,116.0,Released,7.2,3783,60.929352
389,The Three Musketeers(2011),"Adventure,Action,Thriller",en,"United States of America,Germany,France,United Kingdom","Impact Pictures,Studio Babelsberg,Nouvelles Éditions de Films (NEF),New Legacy,Constantin Film Produktion",2011-08-31,2011,8,Wednesday,75000000,132274484,110.0,Released,5.6,924,36.605246
390,Hotel Transylvania(2012),"Animation,Comedy,Family,Fantasy",en,United States of America,"Columbia Pictures,Sony Pictures Animation",2012-09-20,2012,9,Thursday,85000000,358375603,91.0,Released,6.8,2566,56.257411
391,Enchanted(2007),"Comedy,Family,Fantasy,Romance",en,United States of America,"Walt Disney Pictures,Josephson Entertainment,Andalasia Productions,Right Coast Productions",2007-11-20,2007,11,Tuesday,85000000,340487652,107.0,Released,6.6,1449,29.21998
392,Safe House(2012),"Action,Thriller",en,United States of America,"Universal Pictures,Dentsu,Relativity Media,Bluegrass Films",2012-02-09,2012,2,Thursday,85000000,208076205,115.0,Released,6.3,1345,34.773106
393,102 Dalmatians(2000),"Comedy,Family",en,United States of America,"Walt Disney Pictures,Cruella Productions",2000-10-07,2000,10,Saturday,85000000,183611771,100.0,Released,5.1,313,9.895061
394,Tower Heist(2011),"Action,Comedy",en,United States of America,"Universal Pictures,Image Entertainment,Relativity Media,Rat Entertainment",2011-11-02,2011,11,Wednesday,75000000,152930623,104.0,Released,5.8,932,36.743324
395,The Holiday(2006),"Comedy,Romance",en,"United Kingdom,United States of America","Columbia Pictures,Universal Pictures,Waverly Films,Relativity Media",2006-12-08,2006,12,Friday,85000000,194168700,136.0,Released,6.7,1225,44.967453
396,Enemy of the State(1998),"Action,Drama,Thriller",en,United States of America,"Jerry Bruckheimer Films,Scott Free Productions,Touchstone Pictures,No Such Productions",1998-11-20,1998,11,Friday,90000000,250649836,132.0,Released,6.7,1240,41.207568
397,It's Complicated(2009),"Comedy,Romance",en,United States of America,"Universal Pictures,Scott Rudin Productions,Waverly Films,Dentsu,Relativity Media",2009-12-23,2009,12,Wednesday,85000000,219103655,121.0,Released,6.2,360,16.479851
398,Ocean's Thirteen(2007),"Crime,Thriller",en,United States of America,"Village Roadshow Pictures,Section Eight,Jerry Weintraub Productions,Warner Bros.",2007-06-07,2007,6,Thursday,85000000,311312624,122.0,Released,6.5,1999,42.069993
399,Open Season(2006),"Adventure,Animation,Family",en,United States of America,Sony Pictures Animation,2006-09-29,2006,9,Friday,85000000,197309027,83.0,Released,6.1,656,26.61951
400,Divergent(2014),"Adventure,Action,Science Fiction",en,United States of America,"Summit Entertainment,Red Wagon Entertainment",2014-03-14,2014,3,Friday,85000000,288747895,139.0,Released,6.9,4663,80.316463
401,Enemy at the Gates(2001),War,en,"Ireland,United States of America,Germany,United Kingdom","Paramount Pictures,Swanford Films,Mandalay Pictures,Little Bird,KC Medien,Reperage,DOS,MP Film Management",2001-03-13,2001,3,Tuesday,68000000,96976270,131.0,Released,7.2,999,41.273567
402,The Rundown(2003),"Adventure,Action,Comedy,Thriller",en,United States of America,"Columbia Pictures,Universal Pictures,Strike Entertainment,WWE Studios,Misher Films,IM3 Entertainment",2003-09-26,2003,9,Friday,85000000,80916492,104.0,Released,6.4,514,24.107835
403,Last Action Hero(1993),"Adventure,Fantasy,Action,Comedy,Family",en,United States of America,"Columbia Pictures Corporation,Oak Productions",1993-06-18,1993,6,Friday,85000000,137298489,130.0,Released,6.1,712,32.044191
404,Memoirs of a Geisha(2005),"Drama,History,Romance",en,United States of America,"DreamWorks SKG,Spyglass Entertainment,Columbia Pictures Corporation,Red Wagon Productions",2005-12-06,2005,12,Tuesday,85000000,162242962,145.0,Released,7.3,652,16.595874
405,The Fast and the Furious: Tokyo Drift(2006),"Action,Crime,Drama,Thriller",en,"Japan,United States of America",Universal Pictures,2006-06-03,2006,6,Saturday,85000000,158468292,104.0,Released,6.1,1705,8.282876
406,Arthur Christmas(2011),"Drama,Animation,Family,Comedy",en,United States of America,"Columbia Pictures,Aardman Animations,Sony Pictures Animation",2011-02-22,2011,2,Tuesday,0,0,97.0,Released,6.7,333,19.83683
407,Meet Joe Black(1998),"Fantasy,Drama,Mystery",en,United States of America,"Universal Pictures,City Light Films",1998-11-12,1998,11,Thursday,90000000,142940100,178.0,Released,6.9,1147,36.069611
408,Collateral Damage(2002),"Action,Thriller,Drama",en,United States of America,"David Foster Productions,Bel Air Entertainment,Warner Bros.,Hacienda Productions",2002-02-06,2002,2,Wednesday,85000000,78382433,108.0,Released,5.5,427,18.827753
409,All That Jazz(1979),"Drama,Music",en,United States of America,"Twentieth Century Fox Film Corporation,Columbia Pictures Corporation",1979-12-20,1979,12,Thursday,0,37823676,123.0,Released,7.3,85,5.159407
410,Mirror Mirror(2012),"Adventure,Fantasy,Drama,Comedy,Science Fiction,Family",en,United States of America,"Relativity Media,Misher Films,Yucaipa Films,Goldmann Pictures,Rat Entertainment,Misha Films",2012-03-15,2012,3,Thursday,85000000,183018522,106.0,Released,5.5,1114,48.126297
411,Scott Pilgrim vs. the World(2010),"Action,Adventure,Comedy",en,"United States of America,Canada","Universal Pictures,Marc Platt Productions",2010-07-27,2010,7,Tuesday,60000000,47664559,112.0,Released,7.2,2126,38.885195
412,The Core(2003),"Action,Thriller,Adventure,Science Fiction",en,"United States of America,Canada,Germany","Paramount Pictures,David Foster Productions,Horsepower Films,LivePlanet,Core Productions,Munich Film Partners New Century & Company (MFP) Core Productions",2003-03-28,2003,3,Friday,60000000,74208267,136.0,Released,5.4,516,29.211255
413,Nutty Professor II: The Klumps(2000),"Fantasy,Comedy,Romance,Science Fiction",en,United States of America,"Imagine Entertainment,Universal Pictures",2000-07-27,2000,7,Thursday,84000000,123307945,106.0,Released,4.7,332,17.783361
414,Scooby-Doo(2002),"Mystery,Adventure,Comedy",en,United States of America,"Atlas Entertainment,Mosaic Media Group,Warner Bros.",2002-06-14,2002,6,Friday,84000000,275650703,88.0,Released,5.4,820,31.435539
415,Dredd(2012),"Action,Science Fiction",en,"South Africa,United Kingdom,United States of America,India","DNA Films,Reliance BIG Entertainment,IM Global,Rena Film,Peach Trees",2012-09-07,2012,9,Friday,50000000,41037742,95.0,Released,6.6,1940,57.673932
416,Click(2006),"Comedy,Drama,Fantasy,Romance",en,United States of America,"Original Film,Columbia Pictures Corporation,Revolution Studios,Happy Madison Productions",2006-06-22,2006,6,Thursday,82500000,237681299,107.0,Released,6.0,2104,41.176631
417,Creepshow(1982),"Horror,Comedy,Fantasy",en,United States of America,"Warner Bros.,Creepshow Films Inc.,Laurel Entertainment Inc.",1982-11-12,1982,11,Friday,8000000,21028755,120.0,Released,6.7,226,13.661289
418,Cats & Dogs 2 : The Revenge of Kitty Galore(2010),"Comedy,Family",en,"United States of America,Australia",Village Roadshow Pictures,2010-07-30,2010,7,Friday,85000000,112483764,82.0,Released,4.9,119,11.77398
419,Jumper(2008),"Adventure,Fantasy,Science Fiction",en,"Canada,United States of America","Dune Entertainment,Hypnotic,New Regency Pictures",2008-02-10,2008,2,Sunday,85000000,222231186,88.0,Released,5.9,1799,21.218
420,Hellboy II: The Golden Army(2008),"Adventure,Fantasy,Science Fiction",en,"Germany,United States of America","Universal Pictures,Dark Horse Entertainment,Lawrence Gordon Productions,Mid Atlantic Films,Relativity Media,Internationale Filmproduktion Eagle",2008-07-11,2008,7,Friday,85000000,160388063,120.0,Released,6.5,1527,58.57976
421,Zodiac(2007),"Crime,Drama,Mystery,Thriller",en,United States of America,"Paramount Pictures,Warner Bros.,Phoenix Pictures",2007-03-02,2007,3,Friday,65000000,84785914,157.0,Released,7.3,2023,51.970905
422,The 6th Day(2000),Science Fiction,en,United States of America,Phoenix Pictures,2000-11-17,2000,11,Friday,82000000,96085477,123.0,Released,5.7,595,18.447479
423,Bruce Almighty(2003),"Fantasy,Comedy",en,United States of America,"Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Pit Bull Productions",2003-05-23,2003,5,Friday,80000000,484572835,101.0,Released,6.4,3012,109.684788
424,The Expendables(2010),"Thriller,Adventure,Action",en,United States of America,Millennium Films,2010-08-03,2010,8,Tuesday,80000000,274470394,103.0,Released,6.0,2926,77.580661
425,Mission: Impossible(1996),"Adventure,Action,Thriller",en,United States of America,"Paramount Pictures,Cruise/Wagner Productions",1996-05-22,1996,5,Wednesday,80000000,457696359,110.0,Released,6.7,2631,75.290998
426,The Hunger Games(2012),"Science Fiction,Adventure,Fantasy",en,United States of America,"Lionsgate,Color Force",2012-03-12,2012,3,Monday,75000000,691210692,142.0,Released,6.9,9455,68.550698
427,The Hangover Part II(2011),Comedy,en,United States of America,"Legendary Pictures,Living Films,Green Hat Films,Warner Bros.",2011-05-25,2011,5,Wednesday,80000000,254455986,102.0,Released,6.2,3739,58.040149
428,Batman Returns(1992),"Action,Fantasy",en,"United Kingdom,United States of America","PolyGram Filmed Entertainment,Warner Bros.",1992-06-19,1992,6,Friday,80000000,280000000,126.0,Released,6.6,1673,59.113174
429,Over the Hedge(2006),"Comedy,Animation,Family",en,United States of America,"Pacific Data Images (PDI),DreamWorks Animation",2006-04-22,2006,4,Saturday,80000000,343397247,83.0,Released,6.3,1074,36.32705
430,Lilo & Stitch(2002),"Animation,Family",en,United States of America,"Walt Disney Pictures,Walt Disney Feature Animation",2002-06-21,2002,6,Friday,80000000,145771527,85.0,Released,7.1,1314,55.659988
431,Charlotte's Web(2006),"Comedy,Family,Fantasy",en,"Germany,United States of America","Paramount Pictures,Kerner Entertainment Company",2006-12-15,2006,12,Friday,85000000,144000000,97.0,Released,5.8,288,14.132583
432,Deep Impact(1998),"Action,Drama,Romance",en,United States of America,"Paramount Pictures,DreamWorks SKG,Zanuck/Brown Productions,Manhattan Project",1998-05-08,1998,5,Friday,75000000,140464664,120.0,Released,5.9,855,34.070054
433,RED 2(2013),"Action,Comedy,Crime,Thriller",en,"Canada,France,United States of America","DC Comics,Di Bonaventura Pictures,Summit Entertainment,DC Entertainment",2013-07-18,2013,7,Thursday,84000000,0,116.0,Released,6.4,1526,44.34333
434,The Longest Yard(2005),"Comedy,Drama",en,United States of America,"Paramount Pictures,Columbia Pictures Corporation,MTV Films,Happy Madison Productions,Callahan Filmworks",2005-05-19,2005,5,Thursday,82000000,190320568,113.0,Released,6.2,785,26.065735
435,Alvin and the Chipmunks: Chipwrecked(2011),"Comedy,Fantasy,Family,Music,Animation",en,United States of America,Fox 2000 Pictures,2011-12-14,2011,12,Wednesday,75000000,342695435,87.0,Released,5.4,484,23.473004
436,Grown Ups 2(2013),Comedy,en,United States of America,"Columbia Pictures,Happy Madison Productions,Sony Pictures Entertainment (SPE)",2013-07-11,2013,7,Thursday,80000000,246984278,100.0,Released,5.8,1155,45.589568
437,Get Smart(2008),"Action,Comedy,Thriller",en,"Canada,Russia,United States of America","Village Roadshow Pictures,Atlas Entertainment,Mosaic Media Group,Mad Chance,Warner Bros.,WV Films IV,Mel's Cite du Cinema,Callahan Filmworks",2008-06-19,2008,6,Thursday,80000000,230685453,110.0,Released,6.0,1051,23.496054
438,Something's Gotta Give(2003),"Drama,Comedy,Romance",en,United States of America,"Columbia Pictures Corporation,Waverly Films,Warner Bros.",2003-12-12,2003,12,Friday,80000000,266728738,128.0,Released,6.3,410,16.939441
439,Shutter Island(2010),"Drama,Thriller,Mystery",en,United States of America,"Paramount Pictures,Appian Way,Phoenix Pictures,Sikelia Productions",2010-02-18,2010,2,Thursday,80000000,294804195,138.0,Released,7.8,6336,81.914696
440,Four Christmases(2008),"Comedy,Romance,Drama",en,United States of America,"New Line Cinema,Spyglass Entertainment,Type A Films,Ott Medien,Wild West Picture Show Productions",2008-11-26,2008,11,Wednesday,80000000,163733697,88.0,Released,5.3,331,19.500893
441,Robots(2005),"Animation,Comedy,Family,Science Fiction",en,United States of America,"Blue Sky Studios,Twentieth Century Fox Animation",2005-03-10,2005,3,Thursday,75000000,260696994,91.0,Released,6.0,1333,29.558157
442,Face/Off(1997),"Action,Crime,Science Fiction,Thriller",en,United States of America,"Paramount Pictures,Permut Presentations,WCG Entertainment Productions,Douglas/Reuther Productions,Touchstone Pictures,Krane Entertainment",1997-06-27,1997,6,Friday,80000000,245676146,138.0,Released,6.8,1583,46.075037
443,Bedtime Stories(2008),"Fantasy,Comedy,Family,Romance",en,United States of America,"Walt Disney Pictures,Happy Madison Productions,Gunn Films",2008-12-24,2008,12,Wednesday,80000000,212874442,99.0,Released,5.9,901,23.531721
444,Road to Perdition(2002),"Thriller,Crime,Drama",en,United States of America,"DreamWorks SKG,The Zanuck Company,Twentieth Century Fox Film Corporation",2002-07-12,2002,7,Friday,80000000,181001478,117.0,Released,7.3,1077,49.078546
445,Just Go with It(2011),"Romance,Comedy",en,United States of America,"Columbia Pictures,Happy Madison Productions",2011-02-10,2011,2,Thursday,80000000,214918407,117.0,Released,6.3,1543,37.02665
446,Con Air(1997),"Action,Thriller,Crime",en,United States of America,"Jerry Bruckheimer Films,Kouf/Bigelow Productions,Touchstone Pictures,Hiett Designs of Las Vegas,Runway Pictures Inc",1997-06-01,1997,6,Sunday,75000000,224012234,115.0,Released,6.5,1270,45.154631
447,Eagle Eye(2008),"Mystery,Thriller,Action",en,"United States of America,Germany","DreamWorks SKG,K/O Paper Products,Goldcrest Pictures,KMP Film Invest",2008-09-25,2008,9,Thursday,80000000,178066569,118.0,Released,6.3,1018,46.887983
448,Cold Mountain(2003),Drama,en,"United States of America,United Kingdom,Romania,Italy","Miramax Films,Mirage Enterprises,Castel Film Romania,Bona Fide Productions,Cattleya",2003-12-24,2003,12,Wednesday,79000000,173013509,154.0,Released,6.7,533,24.598479
449,The Book of Eli(2010),"Action,Thriller,Science Fiction",en,United States of America,"Alcon Entertainment,Silver Pictures",2010-01-14,2010,1,Thursday,80000000,157107755,118.0,Released,6.6,2164,32.363538
450,Flubber(1997),"Comedy,Family,Science Fiction",en,United States of America,"Walt Disney Pictures,Great Oaks Entertainment",1997-11-26,1997,11,Wednesday,80000000,177977226,93.0,Released,5.3,695,11.50396
451,The Haunting(1999),"Horror,Thriller,Fantasy,Mystery",en,United States of America,"DreamWorks,Roth-Arnold Productions",1999-07-23,1999,7,Friday,80000000,91188905,113.0,Released,5.2,369,19.375768
452,Space Jam(1996),"Animation,Comedy,Drama,Family,Fantasy",en,United States of America,"Warner Bros. Family Entertainment,Northern Lights Entertainment,Courtside Seats Productions",1996-11-15,1996,11,Friday,80000000,250200000,88.0,Released,6.5,1288,36.125715
453,The Pink Panther(2006),"Action,Comedy,Crime,Mystery,Family",en,United States of America,"Columbia Pictures,International Production Company,The Montecito Picture Company,Robert Simonds Productions,Metro-Goldwyn-Mayer (MGM)",2006-01-18,2006,1,Wednesday,0,0,93.0,Released,5.6,550,25.450534
454,The Day the Earth Stood Still(2008),"Drama,Science Fiction,Thriller",en,"Canada,United States of America","Twentieth Century Fox Film Corporation,Dune Entertainment III,Earth Canada Productions,Hammerhead Productions,3 Arts Entertainment",2008-12-10,2008,12,Wednesday,80000000,233093859,104.0,Released,5.2,1043,41.890722
455,Conspiracy Theory(1997),"Action,Drama,Mystery,Thriller",en,United States of America,"Silver Pictures,Warner Bros.,Donner/Shuler-Donner Productions",1997-08-07,1997,8,Thursday,75000000,136982834,135.0,Released,6.5,431,22.179658
456,Fury(2014),"War,Drama,Action",en,"United Kingdom,United States of America,China","Columbia Pictures,QED International,Crave Films,LStar Capital,Huayi Brothers Media,Le Grisbi Productions",2014-10-15,2014,10,Wednesday,68000000,211817906,135.0,Released,7.4,3946,139.575085
457,Six Days Seven Nights(1998),"Action,Adventure,Comedy,Romance",en,United States of America,"Caravan Pictures,Roger Birnbaum Productions,Northern Lights Entertainment,Touchstone Pictures",1998-06-12,1998,6,Friday,70000000,164000000,98.0,Released,5.6,332,18.264635
458,Yogi Bear(2010),"Comedy,Family,Animation,Adventure",en,"United States of America,New Zealand","De Line Pictures,Warner Bros. Animation,Sunswept Entertainment,Rhythm and Hues,Picnic Basket",2010-12-11,2010,12,Saturday,80000000,201584141,80.0,Released,5.2,220,11.187696
459,Spirit: Stallion of the Cimarron(2002),"Western,Animation,Adventure,Comedy,Family",en,United States of America,"DreamWorks SKG,DreamWorks Animation",2002-05-24,2002,5,Friday,80000000,122563539,83.0,Released,7.4,831,41.670544
460,Zookeeper(2011),"Comedy,Romance,Family",en,United States of America,"Columbia Pictures,Happy Madison Productions,Sony Pictures Releasing,Broken Road Productions,Metro-Goldwyn-Mayer (MGM),Zookeeper Productions,Hey Eddie",2011-07-06,2011,7,Wednesday,80000000,169852759,102.0,Released,5.3,498,27.46264
461,Lost in Space(1998),"Adventure,Family,Science Fiction",en,United States of America,"New Line Cinema,Irwin Allen Productions,Prelude Pictures,Saltire Entertainment",1998-04-03,1998,4,Friday,80000000,136159423,130.0,Released,5.0,388,17.455024
462,The Manchurian Candidate(2004),"Drama,Thriller,Mystery",en,United States of America,"Paramount Pictures,Scott Rudin Productions,Clinica Estetico",2004-07-30,2004,7,Friday,80000000,96105964,129.0,Released,6.2,393,21.394281
463,Déjà Vu(1998),"Romance,Drama",en,United States of America,"Rainbow Film Company, The,Revere Entertainment,Jagtoria Films",1998-04-22,1998,4,Wednesday,0,0,117.0,Released,8.0,1,0.605645
464,Hotel Transylvania 2(2015),"Animation,Comedy,Family",en,United States of America,"Columbia Pictures,Sony Pictures Animation",2015-09-21,2015,9,Monday,80000000,473226958,89.0,Released,6.7,1497,61.692197
465,Fantasia 2000(1999),"Animation,Family,Music",en,United States of America,Walt Disney Pictures,1999-12-17,1999,12,Friday,80000000,90874570,74.0,Released,7.0,292,14.530946
466,The Time Machine(2002),"Science Fiction,Adventure,Action",en,United States of America,"DreamWorks SKG,Warner Bros.",2002-03-04,2002,3,Monday,80000000,123729176,96.0,Released,5.8,631,25.978555
467,Mighty Joe Young(1998),"Action,Adventure,Family,Fantasy",en,United States of America,"Walt Disney Pictures,RKO Pictures",1998-12-25,1998,12,Friday,90000000,0,114.0,Released,5.9,208,6.643778
468,Swordfish(2001),"Action,Crime,Thriller",en,"Australia,United States of America","Village Roadshow Pictures,NPV Entertainment,Silver Pictures,Warner Bros.,Jonathan Krane Group",2001-06-07,2001,6,Thursday,102000000,147080413,99.0,Released,6.1,932,36.788745
469,The Legend of Zorro(2005),"Action,Adventure",en,"Mexico,United States of America","Amblin Entertainment,Columbia Pictures Corporation",2005-10-24,2005,10,Monday,75000000,142400065,129.0,Released,5.9,893,31.054334
470,What Dreams May Come(1998),"Drama,Fantasy,Romance",en,"New Zealand,United States of America",PolyGram Filmed Entertainment,1998-10-02,1998,10,Friday,85000000,71485043,113.0,Released,6.8,577,21.891078
471,Little Nicky(2000),"Comedy,Fantasy,Romance",en,United States of America,"New Line Cinema,Avery Pix,Happy Madison Productions",2000-11-10,2000,11,Friday,85000000,0,90.0,Released,5.2,438,18.335992
472,The Brothers Grimm(2005),"Adventure,Fantasy,Action,Comedy,Thriller",en,"Czech Republic,United Kingdom,United States of America","The Weinstein Company,Summit Entertainment,Atlas Entertainment,Mosaic Media Group,Reforma Films,Dimension Films,Metro-Goldwyn-Mayer (MGM),Revolution Sun Studios",2005-08-26,2005,8,Friday,88000000,105316267,118.0,Released,5.6,818,40.138009
473,Mars Attacks!(1996),"Comedy,Fantasy,Science Fiction",en,United States of America,Tim Burton Productions,1996-12-12,1996,12,Thursday,70000000,101371017,106.0,Released,6.1,1509,44.090535
474,Évolution(2015),"Mystery,Drama,Horror",fr,"Belgium,France,Spain","Ex Nihilo,Canal+,Les films du Worso,Noodles Production,Ciné+,Scope Pictures,Le Tax Shelter du Gouvernement Fédéral de Belgique,Centre National de la Cinématographie (CNC),Ministère de la Culture et de la Communication,Volcano Films,Left Field Ventures,Evo Films A.I.E.,Indéfilms 3,Palatine Étoile 12,Cinéfeel Prod",2015-09-14,2015,9,Monday,0,0,81.0,Released,6.4,47,3.300061
475,The Edge(1997),"Action,Adventure,Drama",en,United States of America,Art Linson Productions,1997-09-06,1997,9,Saturday,0,43312294,117.0,Released,6.7,349,20.632673
476,Surrogates(2009),"Action,Science Fiction,Thriller",en,United States of America,"Touchstone Pictures,Mandeville Films,Wintergreen Productions,Top Shelf Productions",2009-09-24,2009,9,Thursday,80000000,122444772,89.0,Released,5.9,1195,36.664991
477,Thirteen Days(2000),"Drama,Thriller",en,United States of America,"New Line Cinema,Tig Productions",2000-12-24,2000,12,Sunday,80000000,34566746,145.0,Released,6.9,189,18.26121
478,Daylight(1996),"Action,Adventure,Thriller",en,United States of America,"Universal Pictures,Davis Entertainment",1996-12-06,1996,12,Friday,80000000,159212469,115.0,Released,5.8,378,16.681269
479,Walking With Dinosaurs(2013),"Animation,Family,Adventure",en,"Australia,India,United Kingdom,United States of America","BBC Worldwide,Reliance BIG Entertainment,Animal Logic,BBC Earth,Evergreen Films,BBC Earth MD (WWD),Evergreen MD",2013-12-18,2013,12,Wednesday,80000000,126546518,87.0,Released,5.2,133,10.088006
480,Battlefield Earth(2000),"Action,Science Fiction,War",en,United States of America,"Franchise Pictures,Warner Bros.,JTP Films,Morgan Creek Productions,Battlefield Productions",2000-05-10,2000,5,Wednesday,44000000,21400000,118.0,Released,3.0,255,7.89147
481,Looney Tunes: Back in Action(2003),"Animation,Comedy,Family",en,"Germany,United States of America","Lonely Film Productions GmbH & Co. KG.,Warner Bros. Animation,Warner Bros.,Goldmann Pictures,Baltimore Spring Creek Productions,Warner Bros. Feature Animation",2003-11-14,2003,11,Friday,80000000,68514844,90.0,Released,5.6,297,16.715631
482,Nine(2009),"Drama,Music,Romance",en,"Italy,United States of America","The Weinstein Company,Relativity Media",2009-12-03,2009,12,Thursday,80000000,53825515,112.0,Released,5.1,165,9.357734
483,Timeline(2003),"Action,Adventure,Science Fiction",en,United States of America,"Paramount Pictures,Donners' Company,Mutual Film Company,Cobalt Media Group,Artists Production Group (APG)",2003-11-26,2003,11,Wednesday,80000000,19480739,116.0,Released,5.4,318,11.22268
484,The Postman(1997),"Drama,Adventure",en,United States of America,"Tig Productions,Warner Bros.",1997-12-25,1997,12,Thursday,80000000,17626234,177.0,Released,6.1,299,14.564667
485,Babe: Pig in the City(1998),"Adventure,Comedy,Drama,Family,Fantasy",en,Australia,Kennedy Miller Productions,1998-11-25,1998,11,Wednesday,90000000,69131860,92.0,Released,5.2,305,11.356079
486,The Last Witch Hunter(2015),"Fantasy,Action,Adventure",en,United States of America,"Summit Entertainment,Atmosphere Entertainment MM,One Race Films,Goldmann Pictures,NeoReel,Aperture Entertainment,TIK Films",2015-10-21,2015,10,Wednesday,90000000,146936910,106.0,Released,5.7,1316,52.612025
487,Red Planet(2000),"Thriller,Action,Science Fiction",en,"Australia,United States of America","Village Roadshow Pictures,NPV Entertainment,Warner Bros.,The Canton Company,Mars Production Pty. Ltd.",2000-11-10,2000,11,Friday,80000000,33463969,106.0,Released,5.4,267,13.800656
488,Arthur et les Minimoys(2006),"Adventure,Fantasy,Animation,Family",en,France,"Canal Plus,Sofica Europacorp,Avalanche Productions,EuropaCorp",2006-12-13,2006,12,Wednesday,86000000,107944236,94.0,Released,6.0,639,27.097932
489,Oceans(2009),"Documentary,Family",en,"France,Monaco,Spain,Switzerland","Pathé Films,Canal+,TPS Star,Participant Media,France Télévision,France 2 Cinéma,France 3 Cinema,Centre National de la Cinématographie (CNC),Conseil Régional du Calvados,Région Bretagne,Ministère du Développement Durable et de la Mer,JMH-TSR,HH Sheikha Salama bint Hamdan Al Nahyan,Conseil Général des Côtes d'Armor,Conseil Général du Morbihan,Région Basse-Normandie",2009-10-17,2009,10,Saturday,0,19406406,84.0,Released,7.3,111,10.706613
490,A Sound of Thunder(2005),"Thriller,Science Fiction,Adventure,Action",en,"Czech Republic,Germany,United Kingdom,United States of America","Epsilon Motion Pictures,Franchise Pictures,Baldwin Entertainment Group,Dante Entertainment,Crusader Entertainment,ETIC Films,Forge,QI Quality International GmbH Co. KG,Signature Pictures,ApolloMedia Distribution,Coco,Film 111,Jericho Productions Ltd.,MFF (Sound of Thunder),Matrix Film Finance,Scenario Lane Productions",2005-05-15,2005,5,Sunday,80000000,5989640,110.0,Released,4.8,111,7.342892
491,Pompeii(2014),"Action,Adventure,History,Romance,Drama",en,"Canada,Germany,United States of America","Impact Pictures,TriStar Pictures,Don Carmody Productions,FilmDistrict,Constantin Film International",2014-02-18,2014,2,Tuesday,130000000,117831631,105.0,Released,5.2,1267,50.561849
492,Don Gato: El inicio de la pandilla(2015),"Comedy,Animation",es,"India,Mexico","Anima Estudios,Discreet Art Productions",2015-10-30,2015,10,Friday,8000000,0,89.0,Released,5.3,9,0.719996
493,A Beautiful Mind(2001),"Drama,Romance",en,United States of America,"Imagine Entertainment,DreamWorks SKG,Universal Pictures",2001-12-11,2001,12,Tuesday,60000000,313542341,135.0,Released,7.7,3009,59.248437
494,The Lion King(1994),"Family,Animation,Drama",en,United States of America,"Walt Disney Pictures,Walt Disney Feature Animation",1994-06-23,1994,6,Thursday,45000000,788241776,89.0,Released,8.0,5376,90.457886
